time,total_energy,kinetic_energy,potential_energy,linear_momentum,angular_momentum,com_drift,shadow_energy,timestep
0,-1.7486650806657257e-07,1.7409043600922275e-07,-3.4895694407579532e-07,2.5410988501774172e-21,3.1538464306275795e-05,4.3303132281776875e-19,-1.7486646541240866e-07,0.025000000000000001
0.25,-1.7486650819688149e-07,1.7409044035556098e-07,-3.4895694855244247e-07,2.5410989763951587e-21,3.1538464272825841e-05,6.4954698301677763e-19,-1.7486646554277942e-07,0.025000000000000001
0.5,-1.7486650854362139e-07,1.7409045211235904e-07,-3.4895696065598044e-07,5.082201991756333e-21,3.1538464239338366e-05,4.3303132201118505e-19,-1.7486646588968414e-07,0.025000000000000001
0.75,-1.7486650910708891e-07,1.7409047127949219e-07,-3.489569803865811e-07,1.6940860892274052e-21,3.1538464205791518e-05,2.1651731288269115e-19,-1.7486646645341948e-07,0.025000000000000001
1,-1.7486650988727643e-07,1.7409049785699656e-07,-3.4895700774427299e-07,4.2351699061471745e-21,3.153846417218596e-05,4.330346257653823e-19,-1.7486646723397784e-07,0.025000000000000001
1.25,-1.7486651088417764e-07,1.7409053184491866e-07,-3.489570427290963e-07,5.0822504590981549e-21,3.1538464138521767e-05,4.330346257653823e-19,-1.7486646823135289e-07,0.025000000000000001
1.5,-1.748665120977785e-07,1.7409057324332171e-07,-3.489570853411002e-07,2.5415210134646249e-21,3.153846410479959e-05,6.4955579300183151e-19,-1.7486646944553055e-07,0.025000000000000001
1.75,-1.7486651352806541e-07,1.7409062205227858e-07,-3.4895713558034399e-07,4.235293981270121e-21,3.1538464071019699e-05,4.330346257653823e-19,-1.7486647087649729e-07,0.025000000000000001
2,-1.7486651517502182e-07,1.7409067827187594e-07,-3.4895719344689776e-07,4.2351854157363288e-21,3.1538464037182684e-05,4.330346257653823e-19,-1.7486647252423646e-07,0.025000000000000001
2.25,-1.7486651703862877e-07,1.7409074190221252e-07,-3.4895725894084129e-07,4.2354180527583292e-21,3.1538464003288756e-05,6.4955579300183151e-19,-1.7486647438872917e-07,0.025000000000000001
2.5,-1.7486651911886403e-07,1.7409081294339954e-07,-3.4895733206226357e-07,3.3884484292995221e-21,3.1538463969338625e-05,6.4954918552424341e-19,-1.7486647646995313e-07,0.025000000000000001
2.75,-1.7486652141570427e-07,1.7409089139555948e-07,-3.4895741281126376e-07,4.235293981270121e-21,3.1538463935332339e-05,2.1662135574510998e-19,-1.7486647876788504e-07,0.025000000000000001
3,-1.748665239291216e-07,1.7409097725882777e-07,-3.4895750118794937e-07,2.5411074582130065e-21,3.1538463901270447e-05,4.3303132201118505e-19,-1.7486648128249695e-07,0.025000000000000001
3.25,-1.7486652665908648e-07,1.7409107053335003e-07,-3.489575971924365e-07,2.5412367014587445e-21,3.1538463867153709e-05,6.4954698301677763e-19,-1.7486648401375932e-07,0.025000000000000001
3.5,-1.7486652960556703e-07,1.7409117121928297e-07,-3.4895770082484999e-07,2.5427871080180399e-21,3.153846383298238e-05,6.4958222224007853e-19,-1.7486648696164031e-07,0.025000000000000001
3.75,-1.7486653276853051e-07,1.7409127931679268e-07,-3.4895781208532319e-07,5.0823527775241452e-21,3.1538463798756699e-05,2.1654208952702212e-19,-1.7486649012610709e-07,0.025000000000000001
4,-1.7486653614793847e-07,1.7409139482605765e-07,-3.4895793097399612e-07,4.2364880185210313e-21,3.1538463764477405e-05,4.3304453687674531e-19,-1.7486649350712123e-07,0.025000000000000001
4.25,-1.748665397437517e-07,1.7409151774726416e-07,-3.4895805749101586e-07,4.2364880185210313e-21,3.1538463730144889e-05,4.3303132201118505e-19,-1.7486649710464351e-07,0.025000000000000001
4.5,-1.7486654355592761e-07,1.7409164808060931e-07,-3.4895819163653692e-07,2.5411333073880239e-21,3.15384636957596e-05,2.1654208952702212e-19,-1.7486650091863128e-07,0.025000000000000001
4.75,-1.7486654758442348e-07,1.7409178582629603e-07,-3.4895833341071951e-07,2.5427871080180399e-21,3.1538463661322032e-05,6.4955579300183151e-19,-1.7486650494904187e-07,0.025000000000000001
5,-1.7486655182919111e-07,1.7409193098453822e-07,-3.4895848281372933e-07,4.2361779113313512e-21,3.1538463626832586e-05,6.4958222224007853e-19,-1.7486650919582697e-07,0.025000000000000001
5.25,-1.7486655629018057e-07,1.7409208355555658e-07,-3.4895863984573715e-07,2.5411333073880239e-21,3.153846359229191e-05,4.3304453687674531e-19,-1.7486651365893669e-07,0.025000000000000001
5.5,-1.7486656096734084e-07,1.7409224353957733e-07,-3.4895880450691817e-07,3.3887779622527521e-21,3.1538463557700372e-05,4.3303132201118505e-19,-1.7486651833831997e-07,0.025000000000000001
5.75,-1.7486656586061587e-07,1.740924109368357e-07,-3.4895897679745157e-07,4.2361779113313512e-21,3.1538463523058595e-05,6.4955579300183151e-19,-1.7486652323392074e-07,0.025000000000000001
6,-1.748665709699495e-07,1.7409258574757024e-07,-3.4895915671751974e-07,2.5423393099069641e-21,3.1538463488366998e-05,2.1693813098976394e-19,-1.7486652834568281e-07,0.025000000000000001
