time,id,x,y,z,vx,vy,vz,mass
0,0,-0.0036907719819595174,-1.7892497479364113e-06,0,4.3414888116125854e-08,-3.5695745474689069e-05,0,1
0,1,0.99630848702340347,0.00085999978755674331,0,-2.9596372429396309e-05,0.017164291492806703,0,0.001
0,2,1.7963089966240759,0.00061949997358644543,0,-9.2123437911530292e-06,0.012354302654588251,0,0.0015
0.5,0,-0.0036906420073671928,-1.9636784295492984e-05,0,4.7648613221168994e-07,-3.5693934307599229e-05,0,1
0.5,1,0.99621980556298029,0.009441865149782595,0,-0.00032513176949211411,0.017162763331058359,0,0.001
0.5,2,1.7962814678694752,0.006796612763806927,0,-0.00010090290847971721,0.012354113984360586,0,0.0015
1,0,-0.0036902954914068958,-3.748266990955737e-05,0,9.0958412856364618e-07,-3.5689104981842579e-05,0,1
1,1,0.99598335121271941,0.018022334140528267,0,-0.00062069150564692747,0.017158687961954983,0,0.001
1,2,1.796208093462784,0.012973557179352736,0,-0.00019259508194447914,0.012353611346591737,0,0.0015
1.5,0,-0.0036897324148130461,-5.5325385894214454e-05,0,1.3427326785612669e-06,-3.5681255311742301e-05,0,1
1.5,1,0.99559910634752313,0.026600128233082321,0,-0.0009162975007749334,0.017152063276903846,0,0.001
1.5,2,1.7960888723103487,0.019150171774088086,0,-0.00028429011852422237,0.012352794689892307,0,0.0015
2,0,-0.0036889527462902255,-7.3163421245792402e-05,0,1.7759558574061035e-06,-3.5670381742833588e-05,0,1
2,1,0.99506704233027321,0.035173971967232889,0,-0.001211971786089377,0.017142885846493757,0,0.001
2,2,1.7959238026399682,0.025326299519039672,0,-0.00037598938087781759,0.012351663930893222,0,0.0015
2.5,0,-0.0036879564425040751,-9.0995262840276798e-05,0,2.2092777458822422e-06,-3.5656479347327489e-05,0,1
2.5,1,0.99438711950709036,0.043742587836961964,0,-0.0015077363976711933,0.017131150916030697,0,0.001
2.5,2,1.7957128819979895,0.031501783335543217,0,-0.00046769423214069929,0.012350218954197863,0,0.0015
3,0,-0.003686743448078106,-0.00010881939474517936,0,2.6427224320510708e-06,-3.5639541817945418e-05,0,1
3,1,0.99355928720453057,0.052304695626339645,0,-0.0018036133779358308,0.017116852399393503,0,0.001
3,2,1.7954561072490502,0.037676466079226478,0,-0.00055940603607682678,0.012348459612367944,0,0.0015
3.5,0,-0.0036853136955896397,-0.00012663429752789027,0,3.076314012856973e-06,-3.5619561460016499e-05,0,1
3.5,1,0.99258348372606975,0.0608590117419145,0,-0.0020996247770131158,0.017099982871158943,0,0.001
3.5,2,1.7951534745757129,0.043850190523983854,0,-0.00065112615722923823,0.012346385725905042,0,0.0015
4,0,-0.0036836671055649889,-0.00014443844755964073,0,3.5100765956210704e-06,-3.5596529181819955e-05,0,1
4,1,0.99145963634792023,0.069404248540729435,0,-0.002395792654017763,0.017080533556977927,0,0.001
4,2,1.7948049794780458,0.050022799345940866,0,-0.00074285596106887146,0.012343997083228024,0,0.0015
4.5,0,-0.0036818035864739237,-0.00016223031631419426,0,3.9440342993995402e-06,-3.5570434483150311e-05,0,1
4.5,1,0.99018766131425295,0.077939113653084827,0,-0.002692139078187539,0.017058494322180821,0,0.001
4.5,2,1.7944106167731138,0.056194135107406278,0,-0.00083459681414133383,0.012341293440646328,0,0.0015
5,0,-0.0036797230347235012,-0.00018000836966037081,0,4.3782112561821409e-06,-3.5541265442078952e-05,0,1
5,1,0.9887674638318803,0.086462309299155854,0,-0.0029886861298651529,0.017033853658586055,0,0.001
5,2,1.7939703805944138,0.062364040240809972,0,-0.00092635008421132524,0.012338274522328604,0,0.0015
5.5,0,-0.0036774253346513325,-0.00019777106714749309,0,4.812631611905429e-06,-3.55090086998822e-05,0,1
5.5,1,0.98719893806449688,0.094972531598558257,0,-0.0032854559012988342,0.017006598669482002,0,0.001
5.5,2,1.7934842643912234,0.068532357032623226,0,-0.0010181171404043967,0.012334940020266805,0,0.0015
6,0,-0.0036749103585184059,-0.00021551686128283435,0,5.2473195272542233e-06,-3.5473649444100641e-05,0,1
6,1,0.98548196712656899,0.10346846987194279,0,-0.003582470497235491,0.016976715052747296,0,0.001
6,2,1.792952260927891,0.074698927607261045,0,-0.0011098993533458215,0.012331289594235566,0,0.0015
6.5,0,-0.0036721779665015589,-0.0002332441968001168,0,5.6822991782232609e-06,-3.543517138969044e-05,0,1
6.5,1,0.98361642307698294,0.1119488059336738,0,-0.0038797520352788616,0.016944187082070808,0,0.001
6.5,2,1.7923743622830508,0.080863593910961984,0,-0.0012016980952962665,0.012327322871746427,0,0.0015
7,0,-0.0036692280066857349,-0.00025095150991810298,0,6.1175947564095825e-06,-3.5393556758223304e-05,0,1
7,1,0.98160216691258606,0.12041221337463708,0,-0.0041773226459834905,0.016908997586227856,0,0.001
7,2,1.791750559848766,0.087026197695643959,0,-0.0012935147402840612,0.01232303944799697,0,0.0015
7.5,0,-0.0036660603150561683,-0.00026863722758828758,0,6.5532304690044398e-06,-3.5348786255086396e-05,0,1
7.5,1,0.97943904856174158,0.12885735683418703,0,-0.0044752044726536966,0.016871127926364544,0,0.001
7.5,2,1.7910808443296176,0.093186580502733679,0,-0.0013853506642338286,0.01231843888581457,0,0.0015
8,0,-0.0036626747154906662,-0.00028629976673067825,0,6.9892305384515172e-06,-3.5300839044628315e-05,0,1
8,1,0.97712690687807979,0.13728289126022902,0,-0.0047734196708145819,0.016830557971237,0,0.001
8,2,1.7903652057417243,0.099344583646966148,0,-0.0014772072450912907,0.012313520715594216,0,0.0015
8.5,0,-0.0036590710197521486,-0.00030393753345662393,0,7.4256192017362624e-06,-3.5249692723193675e-05,0,1
8.5,1,0.9746655696345915,0.14568746115639658,0,-0.0050719904073201812,0.016787266070347716,0,0.001
8.5,2,1.7896036334117045,0.10550004820015156,0,-0.0015690858629440539,0.012308284435230646,0,0.0015
9,0,-0.0036552490274816187,-0.00032154892227762,0,7.8624207092683197e-06,-3.5195323289981399e-05,0,1
9,1,0.9720548535182667,0.15406969981525873,0,-0.0053709388590609764,0.016741229024915046,0,0.001
9,2,1.7887961159755681,0.11165281497490749,0,-0.0016609879001382292,0.01230272951004424,0,0.0015
9.5,0,-0.0036512085261918453,-0.00033913231529898496,0,8.2996593233170608e-06,-3.513770511565783e-05,0,1
9.5,1,0.96929456412549353,0.16242822853645791,0,-0.0056702872112309507,0.016692422056607384,0,0.001
9.5,2,1.7879426413775679,0.11780272450835134,0,-0.00175291474139074,0.0122968553727003,0,0.0015
10,0,-0.0036469492912619078,-0.00035668608139726289,0,8.7373593159566673e-06,-3.5076810908650017e-05,0,1
10,1,0.96638449595843723,0.17076165582863631,0,-0.0059700576551108518,0.016640818773967479,0,0.001
10,2,1.7870431968689802,0.12394961704575103,0,-0.0018448677738972098,0.012290661423121695,0,0.0015
10.5,0,-0.0036424710859329313,-0.00037420857538018111,0,9.1755449664742363e-06,-3.5012611679037434e-05,0,1
10.5,1,0.96332443242266297,0.17906857659398434,0,-0.0062702723853212449,0.016586391136445701,0,0.001
10.5,2,1.7860977690068456,0.13009333252413116,0,-0.0019368483874353277,0.012284147028394492,0,0.0015
11,0,-0.0036377736613052384,-0.00039169813712793119,0,9.6142405581910561e-06,-3.4945076699954932e-05,0,1
11,1,0.96011414582626931,0.18734757129418775,0,-0.0065709535964955908,0.016529109415955541,0,0.001
11,2,1.7851063436526462,0.13623371055582897,0,-0.0020288579744636441,0.012277311522666267,0,0.0015
11.5,0,-0.0036328567563372648,-0.00040915309071451223,0,1.005347037464286e-05,-3.4874173466413168e-05,0,1
11.5,1,0.95675339738084741,0.19559720509651504,0,-0.0068721234793193229,0.016468942155857945,0,0.001
11.5,2,1.7840689059709447,0.14237059041199812,0,-0.002120897930215691,0.01227015420703682,0,0.0015
12,0,-0.0036277200978465504,-0.00042657174350781683,0,1.0493258695061078e-05,-3.479986765143461e-05,0,1
12,1,0.95324193720458683,0.20381602699873244,0,-0.0071738042158768526,0.016405856127273202,0,0.001
12,2,1.7829854404279755,0.14850381100605625,0,-0.0022129696527894826,0.012262674349440944,0,0.0015
12.5,0,-0.0036223634005131825,-0.00044395238524709123,0,1.0933629789091902e-05,-3.4722123059397705e-05,0,1
12.5,1,0.94957950432789373,0.21200256893148461,0,-0.0074760179742435146,0.016339816282613093,0,0.001
12.5,2,1.7818559307901922,0.1546332108770711,0,-0.0023050745432322581,0.01225487118452308,0,0.0015
13,0,-0.0036167863668860696,-0.00046129328709634538,0,1.1374607910685637e-05,-3.4640901576472604e-05,0,1
13,1,0.94576582670191811,0.22015534483672206,0,-0.0077787869022547225,0.016270785706217188,0,0.001
13,2,1.7806803601227676,0.16075862817308223,0,-0.0023972140056206094,0.012246743913503616,0,0.0015
13.5,0,-0.0036109886873925221,-0.00047859270067223146,0,1.1816217291082253e-05,-3.455616311802395e-05,0,1
13.5,1,0.94180062121042318,0.22827284972070039,0,-0.0080821331203783722,0.016198725561969718,0,0.001
13.5,2,1.7794587107880662,0.16687990063435404,0,-0.0024893894471359201,0.012238291704036159,0,0.0015
14,0,-0.003604970040351544,-0.00049584885704483149,0,1.2258482130813619e-05,-3.4467865572848315e-05,0,1
14,1,0.93768359368544052,0.23635355867999977,0,-0.0083860787136108613,0.016123595037764067,0,0.001
14,2,1.778190964444069,0.1729968655765545,0,-0.0025816022781351721,0.012229513690056171,0,0.0015
14.5,0,-0.0035987300919914185,-0.0005130599657097491,0,1.2701426590636192e-05,-3.4375964744103779e-05,0,1
14.5,1,0.93341443892726261,0.24439592589896397,0,-0.008690645722310316,0.016045351286673677,0,0.001
14.5,2,1.7768771020427705,0.17910935987385682,0,-0.0026738539122172504,0.012220408971620076,0,0.0015
15,0,-0.0035922684964720944,-0.00053022421352980401,0,1.3145074781299778e-05,-3.428041428678005e-05,0,1
15,1,0.92899284072928412,0.25239838361686867,0,-0.0089958561318728182,0.015963949364677908,0,0.001
15,2,1.77551710382854,0.18521721994195686,0,-0.0027661457662846388,0.012210976614734767,0,0.0015
15.5,0,-0.0035855848959130197,-0.00054733976364456456,0,1.358945075205131e-05,-3.418116564154752e-05,0,1
15.5,1,0.92441847190832949,0.26035934106305803,0,-0.0093017318611500668,0.015879342164781245,0,0.001
15.5,2,1.7741109493364602,0.19132028172100432,0,-0.0028584792606008293,0.012201215651177521,0,0.0015
16,0,-0.0035786789204270493,-0.00056440475434586432,0,1.4034578477762306e-05,-3.4078167964812152e-05,0,1
16,1,0.9196909943411008,0.26827718335820316,0,-0.009608294749497313,0.015791480347353577,0,0.001
16,2,1.7726586173906325,0.19741838065844081,0,-0.0029508558188433291,0.012191125078305722,0,0.0015
16.5,0,-0.0035715501881611635,-0.00058141729791735949,0,1.4480481844560114e-05,-3.3971368054792166e-05,0,1
16.5,1,0.91481005900747392,0.27615027037974871,0,-0.0099155665423314235,0.015700312266507928,0,0.001
16.5,2,1.7711600861024597,0.20351135169174051,0,-0.0030432768681524594,0.012180703858856161,0,0.0015
17,0,-0.0035641983053447375,-0.00059837547943608583,0,1.4927184633832038e-05,-3.3860710273420101e-05,0,1
17,1,0.90977530604141044,0.28397693558951659,0,-0.010223568875067982,0.015605783892319206,0,0.001
17,2,1.7696153328688848,0.20959902923104617,0,-0.0031357438391760376,0.012169950920733932,0,0.0015
17.5,0,-0.0035566228663463156,-0.00061527735553388685,0,1.5374710504460075e-05,-3.3746136463861151e-05,0,1
17.5,1,0.90458636479033971,0.2917554848213369,0,-0.010532323255294915,0.015507838728675316,0,0.001
17.5,2,1.7680243343706505,0.21568124714169992,0,-0.0032282581661101052,0.012158865156790561,0,0.0015
18,0,-0.0035488234537396912,-0.00063212095311645036,0,1.5823082973130835e-05,-3.3627585863424277e-05,0,1
18,1,0.89924285388392522,0.29948419502646317,0,-0.010841851043027269,0.015406417726537893,0,0.001
18,2,1.7663870665705108,0.22175783872665811,0,-0.0033208212867357105,0.012147445424590923,0,0.0015
18.5,0,-0.0035407996383803493,-0.0006489042680376066,0,1.627232539255239e-05,-3.3504995011628798e-05,0,1
18.5,1,0.89374438131322131,0.30716131297442723,0,-0.011152173428874378,0.015301459192375289,0,0.001
18.5,2,1.7647035047114186,0.22782863670878625,0,-0.0034134346424520064,0.012135690546169007,0,0.0015
19,0,-0.0035325509794933811,-0.00066562526372639292,0,1.6722460927393187e-05,-3.3378297653173828e-05,0,1
19,1,0.8880905445212971,0.31478505390684547,0,-0.011463311409934595,0.015192898691515317,0,0.001
19,2,1.7629736233147226,0.23389347321303164,0,-0.0035060996783057284,0.012123599307772345,0,0.0015
19.5,0,-0.0035240770247740223,-0.00068228186976427413,0,1.7173512527742933e-05,-3.3247424635539983e-05,0,1
19.5,1,0.88228093050653456,0.32235360014157899,0,-0.011775285763217258,0.015080668946148077,0,0.001
19.5,2,1.7611973961783249,0.23995217974846339,0,-0.003598817843017116,0.01211117045959461,0,0.0015
20,0,-0.0035153773105021449,-0.00069887198040976119,0,1.7625502899875733e-05,-3.3112303800937183e-05,0,1
20,1,0.8763151159398741,0.32986509962449712,0,-0.012088117016371861,0.014964699727692619,0,0.001
20,2,1.7593747963748469,0.24600458719017604,0,-0.00369159058900258,0.012098402715496379,0,0.0015
20.5,0,-0.0035064513616720741,-0.00071539345306752917,0,1.807845447407663e-05,-3.2972859872292613e-05,0,1
20.5,1,0.87019266729741229,0.33731766442595312,0,-0.01240182541548555,0.01484491774322174,0,0.001
